Product Name,Price,Image URL
Adam Audio A77X Three‑way Near-/Midfield Studio Monitor (Pair),"Rs.450,000",https://musicguide.com.pk/image/cache/catalog/ADAM /A77X_gallery (1)-200x200.jpg
"Steinberg UR22C Recording Pack with USB 3.1 Audio Interface, Condenser Microphone, and Headphones","Rs.63,000",https://musicguide.com.pk/image/cache/catalog/Steinberg/1582283255_1548560-200x200.jpg
Aston Origin Cardioid Condenser Microphone ,"Rs.55,000",https://musicguide.com.pk/image/cache/catalog/Aston/Origin/aston_origin_angle-200x200.jpg
Zoom F1 Field Recorder with Lavalier Microphone ,"Rs.32,000",https://musicguide.com.pk/image/cache/catalog/Zoom/F1_top_Lavalier_mic-200x200.jpg
Focusrite Clarett 4Pre Audio Interface 24-bit/192kHz with Thunderbolt Connectivity,"Rs.100,000",https://musicguide.com.pk/image/cache/catalog/Focusrite/focusrite-clarett4pre-200x200.jpg
ICON Pro Audio HP-200 Closed-Black Studio Headphone ,"Rs.7,000",https://musicguide.com.pk/image/cache/catalog/ICON-Global/icon hp-200 2-200x200.jpg
Akai Professional MIDImix High-Performance Portable Mixer/DAW Controller,"Rs.24,000",https://musicguide.com.pk/image/cache/catalog/Akai/midimix_ortho_1200x750_web.jpg_c85a5d661225028785319086bc4e547c-200x200.jpg
Alctron HA-8 Headphone Amplifier,"Rs.5,000",https://musicguide.com.pk/image/cache/catalog/Alctron/HA-8(9)-200x200.jpg
Alesis MicLink Wireless Digital Microphone Adapter,"Rs.19,500",https://musicguide.com.pk/image/cache/catalog/Alesis/1445252707_1189937-200x200.jpg
Shure SM58 - 50th Anniversary Limited Edition Microphone,"Rs.28,000",https://musicguide.com.pk/image/cache/catalog/Shure /SM5850A-xlarge-200x200.jpg
Soundcraft Notepad-8FX Mixer with Effects,"Rs.32,000",https://musicguide.com.pk/image/cache/catalog/Soundcraft/Soundcraft-NP-8FX-01_original-200x200.jpg
Novation Launchpad Mini mk3 Grid Controller for Ableton Live,"Rs.25,000",https://musicguide.com.pk/image/cache/catalog/Novation/Launchkey mk3/lpm-overhead-391-390-200x200.png
